ComplexPropertyName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
,ProcessCycleNumberPerYear,IfcPropertySingleValue,"number of maintenance processes per year; i.e., cleaning windows every 3 months or 4 times a year",IfcCountMeasure,unitless,,O,21j$oRC$fAthj680xhE$ZC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerYear,ReplacementProcess,
,MaterialTypeForReplacement,IfcPropertySingleValue,TBD,IfcText,unitless,,O,2ZjjMk6gX4VBuUxLn5usu4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialTypeForReplacement,,"MaterialAmountMass, ReplacementProcess"
,MaterialAmountMass,IfcPropertySingleValue,TBD,IfcMassMeasure,kg,,O,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialAmountMass,MaterialTypeForReplacement,
LCACP_SubScenarioRefurbishmentProcess,,IfcComplexProperty,,,,,,,,,
,RefurbishmentProcess,IfcPropertySingleValue,Description of the technological characteristics of the refurbishment process,IfcText,unitless,,O,0XJMIc$sT8WRfE1BYgeX5c,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/replacementProcess,MaterialTypeForRefurbishment,"ProcessCycleInterval, ProcessCycleNumberPerRSL, ProcessCycleNumberPerYear"
,PeriodOfAssessment,IfcPropertySingleValue,period of assessment,IfcTimeMeasure,yr,,O,0Nrl1iyND9ivfKjrAWnG_7,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/periodOfAssessment,,
,ProcessCycleNumberPerRSL,IfcPropertySingleValue,"number of maintenance, repair, replacement or refurbishment processes per RSL",IfcCountMeasure,unitless,,O,11U6k2jRP1NvJWkn1D2KRo,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerRSL,RefurbishmentProcess,
,ProcessCycleInterval,IfcPropertySingleValue,"Interval of years between repair, replacement or refurbishment processes",IfcTimeMeasure,yr,,O,0Tpf8KPrfAfOFvC0ql1L28,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcycleinterval,RefurbishmentProcess,
,ProcessCycleNumberPerYear,IfcPropertySingleValue,"number of maintenance processes per year; i.e., cleaning windows every 3 months or 4 times a year",IfcCountMeasure,unitless,,O,21j$oRC$fAthj680xhE$ZC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerYear,RefurbishmentProcess,
,MaterialTypeForRefurbishment,IfcPropertySingleValue,TBD,IfcText,unitless,,O,2xrYWy5mv4yw$QTC9tzmrh,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialTypeForReplacement,,"MaterialAmountMass, RefurbishmentProcess"
,MaterialAmountMass,IfcPropertySingleValue,TBD,IfcMassMeasure,kg,,O,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialAmountMass,MaterialTypeForRefurbishment,
LCACP_SubScenarioDemolitionDeconstructionProcess,,IfcComplexProperty,,,,,,,,,
,DemolitionProcessType,IfcPropertySingleValue,"Description of the technological characteristics of the demolition process e.g.; demolition, deconstruction, dismantling",IfcText,unitless,,"M* for EN 15804:2012+A2:2019, O for ISO 21930 and EN 15804:2012+A1:2013. *The declaration of this indicator is optional for some product families according to EN 15804:2012+A2:2019, 5.2.",3kiDURSC15q8WjBK8dJJm1,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/demolitionProcessType,MaterialTypeForDemolition,
,MaterialTypeForDemolition,IfcPropertySingleValue,Description of the materials used,IfcText,unitless,,,0E3crkMWX4Y9tLHnE9x6Np,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialTypeForDemolition,,"MaterialAmountMass, DemolitionProcessType"
,MaterialAmountMass,IfcPropertySingleValue,Amount of material used given in mass,IfcMassMeasure,kg,,,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialAmountMass,MaterialTypeForDemolition,
