PropertySetName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
,InUseConditionGradeISO15686-8,IfcPropertyEnumeratedValue,Designation representing a qualitative description of the in-use condition grading.,,unitless,PEnum_InUseConditionGradeISO15686_8,M for functional unit,34rPkd$JLEx9jGDkMdjIGs,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/inUseConditionGradeISO15686-8,,
,ReferenceQuantityItem,IfcPropertySingleValue,"An item, an assemblage of items",IfcCountMeasure,unitless,,O,3M2UHyXRPDvf5JuuPTNYtJ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityItem,,
,ReferenceQuantityMass,IfcPropertySingleValue,Mass quantity of a construction product for use as a reference unit in an EPD,IfcMassMeasure,kg,,O,2v2Psp_3n7lQQ8g8W_20jF,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityMass,,
,ReferenceQuantityLength,IfcPropertySingleValue,Length quantity of a construction product for use as a reference unit.,IfcPositiveLengthMeasure,m,,O,3YZsCVKnnCnA1ZzkND3vmD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityLength,,
,ReferenceQuantityArea,IfcPropertySingleValue,Area quantity of a construction product for use as a reference unit.,IfcAreaMeasure,m2,,O,0_TJdgAuTB6wbrz7FSAZhR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityArea,,
,ReferenceQuantityVolume,IfcPropertySingleValue,Volume quantity of a construction product for use as a reference unit in an EPD,IfcVolumeMeasure,m3,,O,3hPvKyBtD30h$90jJSI2yM,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/referenceQuantityVolume,,
,MassConversionFactor,IfcPropertySingleValue,Conversion factor to mass (kg) per declared or functional unit,IfcReal,unitless,,M,0YXuyZa8bCZOBwkGwVTktB,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/massConversionFactor,,
LCAPset_ReferenceQuantityAnsScalingFactor,,IfcPropertySet,Document reference: EN ISO 22057 8.3.4. Product specific properties such as scaling factor or thickness.,,,,,,,,
LCAPset_ScenarioA4,,IfcPropertySet,Document reference: EN ISO 22057 8.4.2 Table 14 and Table 15.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,GeographicalInformation,IfcPropertySingleValue,The location where the scenario is relevant,IfcLabel,unitless,,O,0tGDTqPAnBmxcd18vL80Cv,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/geographicalinformation,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioTransport,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioA5,,IfcPropertySet,Document reference: EN ISO 22057 8.4.3 Table 16 and Table 17.,,,,,,,,
,ScenarioType,IfcPropertyEnumeratedValue,Description of the scenario,,unitless,PEnum_ScenarioType,O,33cj2N7o1AOujw1iCBkip8,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/scenariotype,,
,DescriptionOfApproachUsed,IfcPropertyEnumeratedValue,Description of approach used as the basis for this scenario,,unitless,PEnum_DescriptionOfApproachUsed,O,3KojNOFe52YukaVuUn5eiE,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/descriptionofapproachused,,
,LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioPackagingWasteHandling,IfcComplexProperty,,,,,,,,,
,LCACP_SubScenarioWasteHandling,IfcComplexProperty,,,,,,,,,
LCAPset_ScenarioB1,,IfcPropertySet,Document reference: EN ISO 22057 8.4.4 Table 18 and Table 19.,,,,,,,,
